DATE,Alte Pinakothek,Ausland (Tourismus),Olympiapark,Bayerisches Nationalmuseum,Bayerisches Staatsorchester,Deutsches Museum,Inland (Tourismus),Kleine Olympiahalle,Museum Brandhorst,Museum Mensch und Natur,Muenchner Kammerspiele,Muenchner Philharmoniker,Muenchner Stadtmuseum,Nationaltheater,Neue Pinakothek,Olympia-Eissportzentrum,Olympiahalle,Olympiastadion,Olympiaturm,Pinakothek der Moderne,Prinzregententheater,Residenztheater,Schackgalerie,Schauburg - Theater fuer junges Publikum,Staedtische Galerie im Lenbachhaus,Theater am Gaertnerplatz,Tierpark Hellabrunn,Kinos
01/03/2008,20488,455893,5450,10673,11523.11961,128189,602125,500,0,0,17645,16410.6,8511,45411.3,21031,28652,58800,35912,52812,30326,21453.4,17814.5,23282.59687,2783.3,25561,15884.7,67029,1592647
01/04/2008,18125,512457,11630,8630,4965.2,85455,675558,1300,0,0,15787.5,21083.7,6491,45519.8,16274,20590,52200,12731,42683,26545,27725.9,16576.2,23282.59687,5472,12900,14791.9,64092,1470387
01/05/2008,20072,543455,65580,9146,619.9,87928,762517,57396.03004,0,0,14251.6,22613.7,8728,42677.2,14061,8195,71900,85336,69811,21976,5712,18535.9,23282.59687,3062.1,11266,14876.7,137916,1604774
01/06/2008,15900,598481,30340,4602,6193,66992,692980,1050,0,0,11473.8,22534.9,18455,27713.9,12905,7143,9700,142126,42255,22495,8002.7,18623.1,23282.59687,4634,10520,14180.2,69707,1550560
01/07/2008,24124,735037,82090,7453,6851.2,131619,750892,1050,0,0,12533,16520.3,21351,59497.9,19216,11173,57396.03004,47727,67248,37570,3817.5,21060.9,23282.59687,5001.7,15586,14482.7,117375,1855055
01/08/2008,25552,758086,390670,5457,11523.11961,113659,648151,12300,0,0,18979.50766,11498.17614,7846,18969.56682,19085,12821,8000,50643,88298,36594,18959.70111,18949.8636,23282.59687,18940.11325,12960,18930.46492,167734,1786535
01/09/2008,17788,698271,14240,8063,11523.11961,78368,772575,1100,0,0,2430,7629.5,11481,18969.56682,14604,14341,48500,12814,49314,32082,8668.7,2617.7,23282.59687,235.9,9911,1825.5,82484,1779294
01/10/2008,16624,615772,13460,11587,1825.3,93310,832910,450,0,0,15384.8,10120.7,17538,44589.6,23255,27103,51700,61200,52036,43766,13979.1,16674.5,23282.59687,4502.7,27390,12864.6,71611,1860197
01/11/2008,13325,428885,6240,7910,4694.2,63133,642464,57396.03004,0,0,16561.8,19955.1,17061,50843.8,13726,27522,98300,5169,31097,23654,25730.3,18387.4,1387,3873.4,75382,15829.1,48874,1554782
01/12/2008,17435,502567,4240,16973,4843.7,70204,600236,57396.03004,0,0,19752.1,17476.4,9303,47999.5,14468,39942,86600,11168,32208,24399,44242.4,17167.6,713,3911.6,73508,20927.3,24571,1506844
01/01/2009,16117,372149,3080,8119,4291.7,63915,562599,2500,0,17964,16184.9,7091.8,13197,43052.8,15662,41624,79400,4338,25917,30621,23571.2,17366.3,1277,4683.9,105549,18917.5,24102,1391073
01/02/2009,17460,359138,4240,5654,599.2,69136,550150,57396.03004,0,15108,16459.4,25295.9,9951,46672.8,13318,32307,136500,2815,26855,31553,19974.9,17143.7,1027,3498.7,99733,16359.5,19950,1354389
01/03/2009,21808,412789,5720,11749,4925.5,91501,658956,1150,0,18763,15784.1,22109.1,13730,47318,19628,29179,43100,5642,29533,30877,23997.4,13542.4,1134,4692.6,35564,16783.3,44112,1542493
01/04/2009,16086,463096,17690,11791,6870.8,83989,644062,650,0,11501,13565.7,26800.2,7484,39779.2,13414,34400,47500,46413,58418,23273,26912.4,16918.8,626,3157,1101,13100.8,154232,1386922
01/05/2009,16646,563922,22570,10805,4393.7,75043,806340,57396.03004,41298,13256,13776.6,23505.8,9746,43274.1,14547,7900,39300,81311,50232,23231,14177.1,15905.4,551,4287.3,1461,12893,113602,1688381
01/06/2009,15491,530671,24520,16984,223.6,90524,665203,57396.03004,39481,19729,15992,22505.3,13474,26714.8,13565,6630,19300,69559,51374,19671,8674.5,15525.6,582,2109.9,1057,12864,103792,1560068
01/07/2009,18059,734598,60840,21043,8315.5,123864,835508,57396.03004,34991,18977,14191,19271.1,14610,60682.6,16440,14138,57396.03004,252447,72807,22836,1874.2,21809.1,484,5107.1,1349,19377.3,126302,2039085
01/08/2009,18793,683866,395140,4548,11523.11961,110064,693181,57396.03004,27698,15285,18979.50766,11498.17614,8749,18969.56682,16498,9783,57396.03004,50498,84711,17468,18959.70111,18949.8636,410,18940.11325,693,18930.46492,165527,1778658
01/09/2009,12180,756291,19010,3524,3885.6,68612,763702,57396.03004,24599,10983,3750.2,8249.5,9767,20453.6,10551,15017,57396.03004,25239,54189,15212,7533.4,2741.8,182,248.7,23271.61969,2370.7,95722,1871613
