AUSPRAEGUNG,WERT,DATE
Münchner Philharmoniker,29299.0,2000-03-01
Münchner Philharmoniker,20986.0,2000-04-01
Münchner Philharmoniker,14768.0,2000-05-01
Münchner Philharmoniker,19355.0,2000-06-01
Münchner Philharmoniker,19246.0,2000-07-01
Münchner Philharmoniker,,2000-08-01
Münchner Philharmoniker,27857.0,2000-09-01
Münchner Philharmoniker,11940.0,2000-10-01
Münchner Philharmoniker,28369.0,2000-11-01
Münchner Philharmoniker,30880.0,2000-12-01
